id;actual;estimated;scheduled;city;aircraft;terminal;duration;tail_number;airport_code;airline;flight_number;gate;status;status_text
1;2020-04-06T11:44:26;2020-04-06T15:50:44;2020-04-06T22:42:50;Lake Monroe;niches;Handmade multi-tasking;calculating;Credit Card Account Guyana Dollar;Unbranded internet solution;Cambridgeshire cyan;teal Central Tasty Wooden Ball;Response online Hat;implementation Intranet Brazil;Architect Montana Total
2;2020-04-07T03:38:28;2020-04-06T13:57:05;2020-04-07T04:59:22;Rodriguezshire;synthesizing;Mouse SMS quantifying;scalable;Extended maximized;protocol Computers;digital Realigned quantify;Refined Avon;Data Kids Dynamic;Profit-focused Rustic Concrete Bike;Colorado override
3;2020-04-06T11:38:09;2020-04-06T22:02:40;2020-04-06T18:35:09;Ryleeberg;Manager backing up back-end;payment Developer Licensed;calculate adapter;Frozen;Auto Loan Account;feed schemas;efficient reboot;Beauty cross-platform;navigate;Shoes bluetooth
4;2020-04-06T16:05:20;2020-04-06T12:37:35;2020-04-06T17:28:56;South Tinashire;Toys Investor Frozen;Sausages sensor vortals;Rubber transmitter;next-generation;Music;bandwidth Cotton indigo;Philippines;Factors XSS Bedfordshire;paradigms sensor;Licensed programming Sweden
5;2020-04-06T21:28:33;2020-04-06T17:40:53;2020-04-06T13:28:49;South Mariabury;reintermediate;Awesome Metal Mouse navigate mobile;overriding;innovative green;olive;Configurable Operations;firewall;Computers compress;Credit Card Account cyan redundant;Awesome Metal Table Automated overriding
6;2020-04-06T13:47:46;2020-04-06T15:34:51;2020-04-06T20:14:57;Baumbachberg;Fresh;Markets Health;Face to face;Operations;capacitor hybrid haptic;Digitized;cultivate payment Zloty;Toys;Rubber e-business Rustic Granite Mouse;productize Bacon Nakfa
7;2020-04-06T11:50:37;2020-04-06T21:28:34;2020-04-06T18:26:41;New Jacques;synthesize Synergized;input;Money Market Account orchid;Global asymmetric;Bacon Home Loan Account;Gloves Plastic;non-volatile invoice deposit;Dynamic;Optimized;Usability backing up Electronics
8;2020-04-06T13:47:46;2020-04-07T01:53:30;2020-04-06T16:43:39;Goodwinton;payment Uzbekistan Sum robust;haptic;Borders;Awesome Soft Table;Table invoice e-business;copying alarm;Berkshire;systems Money Market Account;vertical;Handcrafted Fresh Sausages calculating
9;2020-04-06T12:12:35;2020-04-06T11:57:41;2020-04-07T04:23:18;Port Maya;Croatian Kuna Oval asymmetric;Indian Rupee Ngultrum scalable;Health Legacy JSON;red Checking Account Unbranded Steel Shoes;Table Soft navigating;Mountain;Optional;firewall indexing;Implementation connect Liaison;Electronics Dynamic
10;2020-04-06T19:05:08;2020-04-07T04:58:23;2020-04-06T19:07:44;Lake Ardenton;Mongolia;global Functionality cyan;Devolved Hat;Radial index;Wooden architect;Czech Republic;West Virginia Web;navigating;system;Bike
