id;actual;estimated;scheduled;city;aircraft;terminal;duration;tail_number;airport_code;airline;flight_number;claim;status;status_text
1;2020-04-07T07:15:07;2020-04-06T22:03:01;2020-04-06T12:24:03;South Mikemouth;Czech Koruna AI;synergy driver bus;customer loyalty firewall real-time;Refined Canyon Czech Koruna;Gorgeous Cotton Chips;Small transmit;Frozen;architect;web-readiness Seamless;Auto Loan Account Investment Account mission-critical
2;2020-04-07T04:29:26;2020-04-07T00:07:29;2020-04-06T12:55:10;South Elianetown;radical indexing Circle;markets;View superstructure Dynamic;Games;De-engineered web services system;hybrid holistic Global;Cheese Intranet portals;visualize;Buckinghamshire;e-markets silver Tennessee
3;2020-04-07T03:00:19;2020-04-06T14:43:37;2020-04-06T19:44:38;Lake Melvina;transmit success Michigan;Corner cyan;withdrawal deposit;input online;Avon open-source Bouvet Island (Bouvetoya);Baby North Dakota;Technician frictionless;Gorgeous Soft Pants Legacy Texas;Baht Shoes hack;parse quantify
4;2020-04-06T21:52:02;2020-04-06T19:50:37;2020-04-07T06:18:45;West Mikayla;Strategist Credit Card Account THX;Generic Soft Bacon overriding;optical Small invoice;calculating Markets online;California optimal;array 24/365 system;Berkshire Point payment;bypassing pixel;clicks-and-mortar;Seychelles
5;2020-04-07T09:41:08;2020-04-07T01:56:38;2020-04-06T19:44:55;North Shyannefort;portals Data Technician;responsive Tools Producer;Senior Sports Unbranded Fresh Cheese;Legacy Oregon;bluetooth circuit Frozen;indexing wireless deposit;Functionality;deposit Passage;functionalities;Investor
6;2020-04-06T10:27:57;2020-04-06T19:51:56;2020-04-07T00:34:09;Casandrafort;Automated;Taka;Practical driver bandwidth;Concrete Fundamental Cambridgeshire;Electronics;Lilangeni Agent deposit;Factors 24/365;North Korean Won overriding vertical;Samoa New Hampshire;6th generation
7;2020-04-07T02:17:48;2020-04-07T06:18:25;2020-04-07T05:30:23;North Dayanaview;virtual Identity;input syndicate Libyan Dinar;indexing reboot;Intelligent;Digitized;open-source Prairie distributed;bandwidth Synergized backing up;Toys Quality;enable Borders Checking Account;3rd generation Avon JBOD
8;2020-04-06T11:43:52;2020-04-07T04:50:58;2020-04-07T02:12:40;Leonardomouth;Auto Loan Account Organic compress;eyeballs Table;Plastic Fully-configurable;customized;wireless Internal Vermont;hacking payment;optical Investment Account Outdoors;Health 24 hour;Uganda;Investor Configuration optimizing
9;2020-04-07T09:38:48;2020-04-07T04:21:34;2020-04-07T07:15:05;Zulaufside;Home Re-contextualized;models Garden payment;Cocos (Keeling) Islands Chair action-items;indexing Berkshire;Savings Account Sleek;Plastic;Handcrafted Frozen Sausages Gorgeous Refined Soft Pants;Buckinghamshire;Markets relationships;hack Wooden Jewelery
10;2020-04-06T23:45:25;2020-04-07T03:59:14;2020-04-06T21:25:44;Hilllview;Handcrafted Concrete Chips;Digitized Auto Loan Account Buckinghamshire;Analyst;Moldova;Coordinator Internal port;Research Gold;Tactics;transmitting Idaho Argentine Peso;Fantastic Plastic Chips;Latvia primary Supervisor
